Date,Open,High,Low,Close,Volume
2018-01-01,1017.5301513671874,1017.5301513671874,1017.5301513671874,1017.5301513671875,0
2018-01-02,1017.5301441052142,1037.8807469873184,1017.5301441052142,1026.2518310546875,20497300
2018-01-03,1026.251774540654,1029.1590033637153,1002.9939439561631,1020.4373168945312,18225100
2018-01-04,1005.9012305519798,1023.3446044921876,1005.9012305519798,1023.3446044921875,18244200
2018-01-05,1011.7156743736906,1040.7879638671875,1011.7156743736906,1040.7879638671875,22528000
2018-01-08,1040.7879406472912,1087.3036027991254,1037.8807117628014,1069.8602294921875,89126100
2018-01-09,1069.860246061288,1078.5819328498312,1049.5096435546875,1049.5096435546875,40459200
2018-01-10,1049.509513457834,1072.767342010916,1049.509513457834,1061.138427734375,42844400
2018-01-11,1061.1383141411675,1066.9527706570095,1040.7877163357205,1046.6021728515625,24156800
2018-01-12,1046.6025500351125,1055.3242379520718,1034.9736328125,1034.9736328125,17709400
2018-01-15,1043.695204953634,1046.6024339367916,1023.3446020715296,1026.2518310546875,21680500
2018-01-16,1029.1591225482048,1096.0253932222406,1026.251893388464,1093.1181640625,172892000
2018-01-17,1101.8398473707298,1372.2121582031252,1101.8398473707298,1372.212158203125,543162200
2018-01-18,1407.0987304687499,1662.93486328125,1261.7372913707386,1279.1806640625,746113200
2018-01-19,1273.3663719664228,1378.0266217170877,1250.1085386884972,1366.397705078125,350797100
2018-01-22,1378.0263276505566,1436.1708984375,1354.7684993357793,1436.1708984375,210982200
2018-01-23,1453.6144157324582,1569.903568991055,1447.7999580695284,1564.089111328125,373838600
2018-01-24,1581.5324843169146,1633.862603283283,1494.315619372967,1564.089111328125,466683900
2018-01-25,1564.0890058409493,1575.7179203825176,1494.3155185915389,1540.8311767578125,242477800
2018-01-26,1540.8311851124347,1569.90347162399,1517.5733559031905,1529.2022705078125,107744800
2018-01-29,1523.3878747411522,1535.016789815512,1447.7999267578125,1447.7999267578125,169223500
2018-01-30,1447.7999775349592,1482.686723981585,1360.5831114183954,1383.8409423828125,183401700
2018-01-31,1366.3974735654633,1517.5733642578125,1348.9541015625,1517.5733642578125,258355000
2018-02-01,1535.0167805341134,1552.4601530401828,1459.4288330078125,1459.4288330078125,194045600
2018-02-02,1459.4287307863312,1471.0576449758637,1412.9130740282012,1430.3564453125,114039400
2018-02-05,1366.3976796468098,1430.3567199707031,1360.5832214355469,1395.469970703125,104317300
2018-02-06,1343.1398468017578,1401.284428914388,1302.4386393229165,1395.469970703125,250349200
2018-02-07,1441.9853968881855,1447.7998541337024,1366.3974526964662,1378.0263671875,94860200
2018-02-08,1378.0263509789938,1436.1709227502595,1354.7685222704877,1401.2841796875,83822200
2018-02-09,1354.7686720628003,1395.4698768028845,1348.9542142427883,1360.5831298828125,70543500
2018-02-12,1372.2121633976062,1389.6555383560503,1354.768788439162,1366.397705078125,52771400
2018-02-13,1378.026616500596,1418.727824582892,1372.2121582031252,1372.212158203125,85872600
2018-02-14,1378.0265478515623,1465.24341796875,1378.0265478515623,1453.614501953125,213133000
2018-02-15,1476.8721967252347,1488.501111660079,1436.1709944532795,1471.0577392578125,168795800
2018-02-16,1471.0577392578125,1471.0577392578125,1471.0577392578125,1471.0577392578125,0
2018-02-19,1488.5010775862067,1535.0167362607758,1488.5010775862067,1517.5733642578125,156347700
2018-02-20,1529.2022705078127,1546.645642414746,1488.5010693916352,1529.2022705078125,146950200
2018-02-21,1529.2023521872127,1593.1613859288832,1523.3878945743336,1581.532470703125,185251700
2018-02-22,1575.7181648885396,1604.790455753642,1546.6458740234375,1546.6458740234375,100905200
2018-02-23,1558.2745655980602,1569.9034802667024,1505.94444958917,1517.5733642578125,101138200
2018-02-26,1523.3879729626226,1540.8313466988357,1476.8723096660538,1482.686767578125,54632000
2018-02-27,1500.130126953125,1523.3879583787548,1471.0578376710878,1500.130126953125,84191800
2018-02-28,1511.7592389396068,1558.2749078300562,1482.6869458830759,1552.46044921875,131313500
