Date,Open,High,Low,Close,Volume
2018-01-01,503.902099609375,503.902099609375,503.902099609375,503.902099609375,0
2018-01-02,511.9645080566406,520.026941254383,503.9020748588983,511.9645080566406,36621000
2018-01-03,511.9645359099857,528.0894031827412,507.9333190917969,507.9333190917969,43607600
2018-01-04,511.96457147598267,520.0270056724548,511.96457147598267,515.9957885742188,15064900
2018-01-05,520.0270427674737,532.1206949248568,520.0270427674737,528.0894775390625,49323700
2018-01-08,532.120537860577,532.120537860577,515.9956730769231,524.05810546875,31920500
2018-01-09,528.0894775390625,548.2455644680343,524.0582601532681,528.0894775390625,51688900
2018-01-10,528.0893216646635,536.1517540564904,520.0268892728366,524.05810546875,20774300
2018-01-11,528.0893216646635,532.120537860577,520.0268892728366,524.05810546875,14235700
2018-01-12,524.058204593515,540.1830724271616,520.0269876351034,536.15185546875,66859000
2018-01-15,540.1830388849432,548.2454723011364,532.12060546875,532.12060546875,52828200
2018-01-16,536.1518169430132,580.4952002992022,536.1518169430132,568.4015502929688,236009800
2018-01-17,568.4015933520174,596.6201121709119,556.307942429634,588.5576782226562,242283100
2018-01-18,604.6824893435917,624.8385723217114,588.5576229610958,596.6200561523438,276688800
2018-01-19,600.6512242367393,616.7760893169202,592.5887916966489,612.744873046875,91891800
2018-01-22,616.7761892011089,636.9322738155242,616.7761892011089,624.838623046875,142992100
2018-01-23,628.869822692871,653.0571235656738,624.8386058807373,644.9946899414062,153083300
2018-01-24,649.0258957300431,657.0883292173728,628.8698120117188,628.8698120117188,93794700
2018-01-25,653.0571173492974,701.4317186344305,653.0571173492974,681.275634765625,352356500
2018-01-26,693.3692291438231,705.4628784893549,689.3380126953125,689.3380126953125,136492700
2018-01-29,705.4629078227512,737.7126407517912,697.4004745904912,729.6502075195312,289138600
2018-01-30,741.7439528245193,757.8688213641827,713.5254328801082,733.6815185546875,315950100
2018-01-31,725.6189965420082,745.7750797792862,717.556563247097,737.712646484375,144940600
2018-02-01,741.7439528245193,741.7439528245193,725.6190842848558,733.6815185546875,89292800
2018-02-02,741.7438573679212,749.8062906001812,729.6502075195312,729.6502075195312,99715700
2018-02-05,709.4941350125719,717.5565683649874,693.3692683077406,701.4317016601562,81427400
2018-02-06,681.2756071202896,689.3380403406479,636.932224408318,685.3068237304688,226942600
2018-02-07,697.4004849839484,709.4941350125719,681.2756182791172,701.4317016601562,135418800
2018-02-08,701.4316620408443,705.4628784893549,685.3067962468019,689.3380126953125,33518900
