Date,Open,High,Low,Close,Volume
2018-01-01,786.2101440429688,786.2101440429688,786.2101440429688,786.2101440429688,0
2018-01-02,789.4062712402344,808.5821320800782,786.2102944335938,798.9942016601562,22905300
2018-01-03,798.994095599065,814.9739775110463,776.6222609222912,779.8182373046875,29528800
2018-01-04,783.0142433412612,802.1901023618636,783.0142433412612,792.6021728515625,31256700
2018-01-05,798.9941008703005,837.345817712075,798.9941008703005,834.1498413085938,63472900
2018-01-08,840.541838342331,853.3257446289062,827.7579320557555,853.3257446289062,38304300
2018-01-09,859.7176808786917,888.4814694582761,853.3257278610063,872.5015869140625,50899300
2018-01-10,872.501579509062,878.8935324724984,862.9136500639074,869.3056030273438,24974300
2018-01-11,869.3056605747768,901.2654275076729,862.9137071881976,894.8734741210938,50492000
2018-01-12,894.8734185769896,926.8331835261678,894.8734185769896,923.63720703125,31830300
2018-01-15,930.029200789952,974.7728736801902,926.833224154935,968.3809204101562,33808600
2018-01-16,974.7728345285053,990.7527170617595,942.813069461997,977.9688110351562,29814600
2018-01-17,971.5768283060844,977.9687811238877,961.9888990793796,965.1848754882812,20336900
2018-01-18,968.380866803621,977.9687961779142,965.1848903455232,971.5768432617188,17858500
2018-01-19,977.968734741211,1013.1244735717775,971.5767822265626,997.1445922851562,33179700
2018-01-22,1009.9285703716856,1064.2601706764915,997.1446644176136,1054.6722412109375,45054500
2018-01-23,1057.8681107486586,1083.435920071889,1057.8681107486586,1061.0640869140625,47668100
2018-01-24,1070.652084579697,1073.8480609515766,1032.3003681171406,1064.2601318359375,36426500
2018-01-25,1073.8481299120508,1080.2400830662893,1061.064223603574,1067.4561767578125,40008900
2018-01-26,1067.4561082078174,1077.0440373234565,1051.4762263484188,1064.2601318359375,31706200
2018-01-29,1061.0641100469206,1099.4158248678937,1061.0641100469206,1096.2198486328125,69800200
2018-01-30,1096.219887049058,1112.1997687844669,1045.0842654957492,1086.6319580078125,65155900
2018-01-31,1077.044028966567,1096.219887049058,1061.0641472311581,1086.6319580078125,36172700
2018-02-01,1080.2400830662893,1096.2199659518851,1057.8682470264548,1067.4561767578125,42603600
2018-02-02,1067.4561471650095,1067.4561471650095,1016.3205233487216,1054.6722412109375,63009400
