Date,Open,High,Low,Close,Volume
2018-01-01,400.51422119140625,400.51422119140625,400.51422119140625,400.51422119140625,0
2018-01-02,402.38580322265625,421.1014099121094,398.6426696777344,419.2298583984375,1582101
2018-01-03,419.2298583984375,419.2298583984375,408.00048828125,408.00048828125,49691
2018-01-04,419.2298583984375,419.2298583984375,394.8995361328125,408.00048828125,373484
2018-01-05,415.4867248535156,421.1014099121094,398.6426696777344,400.51422119140625,1610419
2018-01-08,408.00048828125,421.1014099121094,400.51422119140625,411.74359130859375,540724
2018-01-09,411.74359130859375,419.2298583984375,409.8720397949219,419.2298583984375,231357
2018-01-10,409.8720397949219,421.1014099121094,409.8720397949219,415.4867248535156,1072366
2018-01-11,415.4867248535156,415.4867248535156,415.4867248535156,415.4867248535156,534
2018-01-12,421.1014099121094,439.8170166015625,421.1014099121094,430.459228515625,2005811
2018-01-15,430.459228515625,430.459228515625,428.587646484375,428.587646484375,529504
2018-01-16,443.5601501464844,443.5601501464844,421.1014099121094,426.7160949707031,227617
2018-01-17,439.8170166015625,443.5601501464844,437.9454650878906,437.9454650878906,6218335
2018-01-18,443.5601501464844,443.5601501464844,415.4867248535156,434.20233154296875,985273
2018-01-19,441.6885986328125,441.6885986328125,441.6885986328125,441.6885986328125,534
2018-01-22,437.9454650878906,441.6885986328125,430.459228515625,430.459228515625,440808
2018-01-23,430.459228515625,441.6885986328125,430.459228515625,441.6885986328125,461112
2018-01-24,441.6885986328125,441.6885986328125,436.07391357421875,441.6885986328125,2671
2018-01-25,439.8170166015625,439.8170166015625,430.459228515625,439.8170166015625,242578
2018-01-26,432.3307800292969,439.8170166015625,430.459228515625,439.8170166015625,1076106
2018-01-29,439.8170166015625,441.6885986328125,439.8170166015625,439.8170166015625,40073
2018-01-30,439.8170166015625,439.8170166015625,437.9454650878906,437.9454650878906,193421
2018-01-31,441.6885986328125,441.6885986328125,434.20233154296875,437.9454650878906,1333645
2018-02-01,439.8170166015625,441.6885986328125,436.07391357421875,437.9454650878906,430122
2018-02-02,441.6885986328125,441.6885986328125,430.459228515625,439.8170166015625,538587
2018-02-05,439.8170166015625,439.8170166015625,430.459228515625,430.459228515625,126097
2018-02-06,439.8170166015625,449.1748352050781,426.7160949707031,447.30328369140625,1676140
2018-02-07,434.20233154296875,458.53265380859375,434.20233154296875,447.30328369140625,445617
2018-02-08,458.53265380859375,458.53265380859375,447.30328369140625,447.30328369140625,522558
2018-02-09,449.1748352050781,456.66107177734375,449.1748352050781,452.91796875,88695
2018-02-12,449.1748352050781,452.91796875,439.8170166015625,452.91796875,86558
2018-02-13,449.1748352050781,452.91796875,430.459228515625,443.5601501464844,340357
2018-02-14,445.43170166015625,447.30328369140625,443.5601501464844,445.43170166015625,893905
2018-02-15,447.30328369140625,447.30328369140625,432.3307800292969,443.5601501464844,637435
2018-02-16,443.5601501464844,443.5601501464844,443.5601501464844,443.5601501464844,0
2018-02-19,439.8170166015625,445.43170166015625,436.07391357421875,439.8170166015625,1109234
2018-02-20,445.43170166015625,445.43170166015625,439.8170166015625,443.5601501464844,82284
2018-02-21,445.43170166015625,445.43170166015625,443.5601501464844,443.5601501464844,25647
2018-02-22,439.8170166015625,443.5601501464844,437.9454650878906,437.9454650878906,1646752
2018-02-23,437.9454650878906,456.66107177734375,437.9454650878906,454.7895202636719,1192052
2018-02-26,449.1748352050781,449.1748352050781,439.8170166015625,447.30328369140625,112205
2018-02-27,447.30328369140625,449.1748352050781,445.43170166015625,449.1748352050781,347837
2018-02-28,449.1748352050781,451.04638671875,449.1748352050781,449.1748352050781,313107
2018-03-01,456.66107177734375,456.66107177734375,445.43170166015625,449.1748352050781,882685
2018-03-02,449.1748352050781,454.7895202636719,447.30328369140625,449.1748352050781,1220905
2018-03-05,456.66107177734375,456.66107177734375,447.30328369140625,449.1748352050781,622474
2018-03-06,454.7895202636719,454.7895202636719,454.7895202636719,454.7895202636719,20303
2018-03-07,449.1748352050781,456.66107177734375,445.43170166015625,445.43170166015625,293872
2018-03-08,445.43170166015625,454.7895202636719,445.43170166015625,449.1748352050781,743763
2018-03-09,449.1748352050781,449.1748352050781,449.1748352050781,449.1748352050781,2041610
2018-03-12,449.1748352050781,449.1748352050781,449.1748352050781,449.1748352050781,0
2018-03-13,449.1748352050781,456.66107177734375,449.1748352050781,449.1748352050781,95107
2018-03-14,456.66107177734375,477.2482604980469,441.6885986328125,454.7895202636719,3409986
2018-03-15,484.7344970703125,484.7344970703125,449.1748352050781,449.1748352050781,1992453
2018-03-16,451.04638671875,466.0188903808594,447.30328369140625,447.30328369140625,2102522
2018-03-19,449.1748352050781,452.91796875,447.30328369140625,452.91796875,2897579
2018-03-20,452.91796875,460.4042053222656,452.91796875,458.53265380859375,2074203
2018-03-21,477.2482604980469,514.6795043945312,469.76202392578125,509.0648193359375,1400434
2018-03-22,512.8079223632812,514.6795043945312,484.7344970703125,492.22076416015625,2290065
